
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[23/03/2026, 17:15:00] [WIN] Trade #263 | Lote: 0.01 | P&L: +$25.18 | Saldo: $2896.53 ???
[23/03/2026, 17:30:00] [LOSS] Trade #72 | Lote: 0.01 | P&L: $-17.45 | Saldo: $2879.08 ???
[23/03/2026, 17:45:00] [LOSS] Trade #73 | Lote: 0.01 | P&L: $-12.57 | Saldo: $2866.51 ???
[23/03/2026, 18:00:00] [WIN] Trade #266 | Lote: 0.01 | P&L: +$26.68 | Saldo: $2893.19 ???
[23/03/2026, 18:15:00] [WIN] Trade #267 | Lote: 0.01 | P&L: +$21.12 | Saldo: $2914.31 ???
[23/03/2026, 18:30:00] [WIN] Trade #268 | Lote: 0.01 | P&L: +$36.46 | Saldo: $2950.77 ???
[23/03/2026, 18:45:00] [WIN] Trade #269 | Lote: 0.01 | P&L: +$20.55 | Saldo: $2971.32 ???
[23/03/2026, 19:00:00] [WIN] Trade #270 | Lote: 0.02 | P&L: +$95.44 | Saldo: $3066.76 ???
[23/03/2026, 19:15:00] [WIN] Trade #271 | Lote: 0.02 | P&L: +$43.86 | Saldo: $3110.62 ???
[23/03/2026, 19:30:00] [WIN] Trade #272 | Lote: 0.03 | P&L: +$42.06 | Saldo: $3152.68 ???
[23/03/2026, 19:45:00] [WIN] Trade #273 | Lote: 0.03 | P&L: +$91.29 | Saldo: $3243.97 ???
[23/03/2026, 20:00:00] [LOSS] Trade #82 | Lote: 0.03 | P&L: $-38.16 | Saldo: $3205.81 ???
[23/03/2026, 20:15:00] [LOSS] Trade #83 | Lote: 0.01 | P&L: $-4.67 | Saldo: $3201.14 ???
[23/03/2026, 20:30:00] [LOSS] Trade #84 | Lote: 0.01 | P&L: $-7.61 | Saldo: $3193.54 ???
[23/03/2026, 20:45:00] [WIN] Trade #277 | Lote: 0.01 | P&L: +$7.80 | Saldo: $3201.34 ???
[23/03/2026, 22:00:00] [WIN] Trade #278 | Lote: 0.01 | P&L: +$58.95 | Saldo: $3260.29 ???
[23/03/2026, 22:15:00] [WIN] Trade #279 | Lote: 0.01 | P&L: +$25.74 | Saldo: $3286.03 ???
[23/03/2026, 22:30:00] [WIN] Trade #280 | Lote: 0.01 | P&L: +$18.33 | Saldo: $3304.36 ???
[23/03/2026, 22:45:00] [WIN] Trade #281 | Lote: 0.02 | P&L: +$49.78 | Saldo: $3354.14 ???
[23/03/2026, 23:00:00] [WIN] Trade #282 | Lote: 0.02 | P&L: +$28.22 | Saldo: $3382.36 ???
[23/03/2026, 23:15:00] [WIN] Trade #283 | Lote: 0.03 | P&L: +$43.98 | Saldo: $3426.34 ???
[23/03/2026, 23:30:00] [WIN] Trade #284 | Lote: 0.03 | P&L: +$67.80 | Saldo: $3494.14 ???
[23/03/2026, 23:45:00] [LOSS] Trade #93 | Lote: 0.03 | P&L: $-35.92 | Saldo: $3458.21 ???
[24/03/2026, 00:00:00] [WIN] Trade #286 | Lote: 0.01 | P&L: +$26.36 | Saldo: $3484.57 ???
[24/03/2026, 00:15:00] [WIN] Trade #287 | Lote: 0.01 | P&L: +$54.50 | Saldo: $3539.07 ???
[24/03/2026, 00:30:00] [WIN] Trade #288 | Lote: 0.01 | P&L: +$55.85 | Saldo: $3594.92 ???
[24/03/2026, 00:45:00] [WIN] Trade #289 | Lote: 0.01 | P&L: +$43.12 | Saldo: $3638.04 ???
[24/03/2026, 01:00:00] [WIN] Trade #290 | Lote: 0.02 | P&L: +$91.54 | Saldo: $3729.58 ???
[24/03/2026, 01:15:00] [WIN] Trade #291 | Lote: 0.02 | P&L: +$75.58 | Saldo: $3805.16 ???
[24/03/2026, 01:30:00] [WIN] Trade #292 | Lote: 0.03 | P&L: +$140.61 | Saldo: $3945.77 ???
[24/03/2026, 01:45:00] [WIN] Trade #293 | Lote: 0.03 | P&L: +$71.37 | Saldo: $4017.14 ???
