
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[24/03/2026, 04:30:00] [WIN] Trade #304 | Lote: 0.01 | P&L: +$12.06 | Saldo: $2784.13 ???
[24/03/2026, 04:45:00] [LOSS] Trade #113 | Lote: 0.02 | P&L: $-17.48 | Saldo: $2766.65 ???
[24/03/2026, 05:00:00] [WIN] Trade #306 | Lote: 0.01 | P&L: +$25.69 | Saldo: $2792.34 ???
[24/03/2026, 05:15:00] [LOSS] Trade #115 | Lote: 0.01 | P&L: $-6.44 | Saldo: $2785.90 ???
[24/03/2026, 05:30:00] [WIN] Trade #308 | Lote: 0.01 | P&L: +$52.90 | Saldo: $2838.80 ???
[24/03/2026, 05:45:00] [WIN] Trade #309 | Lote: 0.01 | P&L: +$25.36 | Saldo: $2864.16 ???
[24/03/2026, 06:00:00] [WIN] Trade #310 | Lote: 0.01 | P&L: +$32.73 | Saldo: $2896.89 ???
[24/03/2026, 06:15:00] [WIN] Trade #311 | Lote: 0.01 | P&L: +$37.73 | Saldo: $2934.62 ???
[24/03/2026, 06:30:00] [LOSS] Trade #120 | Lote: 0.02 | P&L: $-22.35 | Saldo: $2912.27 ???
[24/03/2026, 06:45:00] [WIN] Trade #313 | Lote: 0.01 | P&L: +$31.93 | Saldo: $2944.20 ???
[24/03/2026, 07:00:00] [LOSS] Trade #122 | Lote: 0.01 | P&L: $-12.85 | Saldo: $2931.36 ???
[24/03/2026, 07:15:00] [LOSS] Trade #123 | Lote: 0.01 | P&L: $-9.57 | Saldo: $2921.79 ???
[24/03/2026, 07:30:00] [LOSS] Trade #124 | Lote: 0.01 | P&L: $-6.22 | Saldo: $2915.57 ???
[24/03/2026, 07:45:00] [WIN] Trade #317 | Lote: 0.01 | P&L: +$31.23 | Saldo: $2946.80 ???
[24/03/2026, 08:00:00] [LOSS] Trade #126 | Lote: 0.01 | P&L: $-9.31 | Saldo: $2937.49 ???
[24/03/2026, 08:15:00] [LOSS] Trade #127 | Lote: 0.01 | P&L: $-13.20 | Saldo: $2924.29 ???
[24/03/2026, 08:30:00] [WIN] Trade #320 | Lote: 0.01 | P&L: +$14.01 | Saldo: $2938.30 ???
[24/03/2026, 08:45:00] [WIN] Trade #321 | Lote: 0.01 | P&L: +$15.89 | Saldo: $2954.19 ???
[24/03/2026, 09:00:00] [WIN] Trade #322 | Lote: 0.01 | P&L: +$21.65 | Saldo: $2975.84 ???
[24/03/2026, 09:15:00] [WIN] Trade #323 | Lote: 0.01 | P&L: +$19.11 | Saldo: $2994.95 ???
[24/03/2026, 09:30:00] [WIN] Trade #324 | Lote: 0.02 | P&L: +$32.24 | Saldo: $3027.19 ???
[24/03/2026, 09:45:00] [WIN] Trade #325 | Lote: 0.02 | P&L: +$37.64 | Saldo: $3064.83 ???
[24/03/2026, 10:00:00] [LOSS] Trade #134 | Lote: 0.03 | P&L: $-23.78 | Saldo: $3041.05 ???
[24/03/2026, 10:15:00] [WIN] Trade #327 | Lote: 0.01 | P&L: +$11.41 | Saldo: $3052.46 ???
[24/03/2026, 10:30:00] [WIN] Trade #328 | Lote: 0.01 | P&L: +$13.07 | Saldo: $3065.53 ???
[24/03/2026, 10:45:00] [LOSS] Trade #137 | Lote: 0.01 | P&L: $-11.55 | Saldo: $3053.98 ???
[24/03/2026, 11:00:00] [WIN] Trade #330 | Lote: 0.01 | P&L: +$64.91 | Saldo: $3118.89 ???
[24/03/2026, 11:15:00] [WIN] Trade #331 | Lote: 0.01 | P&L: +$17.05 | Saldo: $3135.94 ???
[24/03/2026, 11:30:00] [WIN] Trade #332 | Lote: 0.01 | P&L: +$20.17 | Saldo: $3156.11 ???
[24/03/2026, 11:45:00] [WIN] Trade #333 | Lote: 0.01 | P&L: +$36.76 | Saldo: $3192.88 ???
[24/03/2026, 12:00:00] [WIN] Trade #334 | Lote: 0.02 | P&L: +$35.10 | Saldo: $3227.98 ???
[24/03/2026, 12:15:00] [WIN] Trade #335 | Lote: 0.02 | P&L: +$63.14 | Saldo: $3291.11 ???
[24/03/2026, 12:30:00] [LOSS] Trade #144 | Lote: 0.03 | P&L: $-66.55 | Saldo: $3224.56 ???
[24/03/2026, 12:45:00] [WIN] Trade #337 | Lote: 0.01 | P&L: +$21.51 | Saldo: $3246.07 ???
[24/03/2026, 13:00:00] [WIN] Trade #338 | Lote: 0.01 | P&L: +$26.04 | Saldo: $3272.11 ???
[24/03/2026, 13:15:00] [WIN] Trade #339 | Lote: 0.01 | P&L: +$26.81 | Saldo: $3298.92 ???
[24/03/2026, 13:30:00] [WIN] Trade #340 | Lote: 0.01 | P&L: +$18.69 | Saldo: $3317.61 ???
[24/03/2026, 13:45:00] [WIN] Trade #341 | Lote: 0.02 | P&L: +$64.02 | Saldo: $3381.63 ???
