
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Filtrando opera????es para o dia: 25/03/2026

[25/03/2026, 20:15:00] [WIN] Trade #459 | Lote: 0.01 | P&L: +$11.72 | Saldo: $1164.43 ???
[25/03/2026, 20:30:00] [WIN] Trade #460 | Lote: 0.02 | P&L: +$59.78 | Saldo: $1224.21 ???
[25/03/2026, 20:45:00] [WIN] Trade #461 | Lote: 0.02 | P&L: +$11.28 | Saldo: $1235.49 ???
[25/03/2026, 22:00:00] [WIN] Trade #462 | Lote: 0.03 | P&L: +$70.11 | Saldo: $1305.60 ???
[25/03/2026, 22:15:00] [WIN] Trade #463 | Lote: 0.03 | P&L: +$42.00 | Saldo: $1347.60 ???
[25/03/2026, 22:30:00] [WIN] Trade #464 | Lote: 0.03 | P&L: +$79.44 | Saldo: $1427.04 ???
[25/03/2026, 22:45:00] [LOSS] Trade #89 | Lote: 0.03 | P&L: $-31.23 | Saldo: $1395.81 ???
[25/03/2026, 23:00:00] [WIN] Trade #466 | Lote: 0.01 | P&L: +$20.34 | Saldo: $1416.15 ???
[25/03/2026, 23:15:00] [LOSS] Trade #91 | Lote: 0.01 | P&L: $-7.95 | Saldo: $1408.21 ???
[25/03/2026, 23:30:00] [WIN] Trade #468 | Lote: 0.01 | P&L: +$22.10 | Saldo: $1430.31 ???
[25/03/2026, 23:45:00] [LOSS] Trade #93 | Lote: 0.01 | P&L: $-4.20 | Saldo: $1426.11 ???

-------------------------------------------
???? RESULTADO DA SIMULA????O HFT ($100 INITIAL)
???? Saldo Final: $1426.11
???? Assertividade: 77.2%
???? Crescimento: 1326.11%
-------------------------------------------
??? Modo Simula????o Finalizado com Sucesso.
